metric,domain,series,case,mean,std,count
utility,Car,MiPN_general,case1,0.247991,0.276775,1000
utility,Car,MiPN_general,case2,0.521474,0.321013,1000
utility,Car,MiPN_general,case3,0.802770,0.247747,1000
utility,Car,MiPN_general,case4,0.821200,0.202825,1000
utility,Car,MiPN_general,case5,0.639762,0.166663,1000
utility,Car,MiPN_general,case6,0.651681,0.219692,1000
utility,Car,Transformer_expert,case1,0.692253,0.166218,1000
utility,Car,Transformer_expert,case2,0.743744,0.170184,1000
utility,Car,Transformer_expert,case3,0.846877,0.161115,1000
utility,Car,Transformer_expert,case4,0.887598,0.106818,1000
utility,Car,Transformer_expert,case5,0.705838,0.163122,1000
utility,Car,Transformer_expert,case6,0.697091,0.094181,1000
utility,Car,Transformer_general,case1,0.680619,0.180510,1000
utility,Car,Transformer_general,case2,0.634634,0.161263,1000
utility,Car,Transformer_general,case3,0.772446,0.190158,1000
utility,Car,Transformer_general,case4,0.605759,0.127181,1000
utility,Car,Transformer_general,case5,0.556803,0.123277,1000
utility,Car,Transformer_general,case6,0.499511,0.133448,1000
utility,EnergySmall_A,MiPN_expert,case1,0.186925,0.284045,1000
utility,EnergySmall_A,MiPN_expert,case2,0.188763,0.309248,1000
utility,EnergySmall_A,MiPN_expert,case3,0.400007,0.352645,1000
utility,EnergySmall_A,MiPN_expert,case4,0.549240,0.281141,1000
utility,EnergySmall_A,MiPN_expert,case5,0.293589,0.335997,1000
utility,EnergySmall_A,MiPN_expert,case6,0.559095,0.239640,1000
utility,EnergySmall_A,MiPN_general,case1,0.096469,0.194364,1000
utility,EnergySmall_A,MiPN_general,case2,0.207195,0.277897,1000
utility,EnergySmall_A,MiPN_general,case3,0.492548,0.251766,1000
utility,EnergySmall_A,MiPN_general,case4,0.569396,0.265255,1000
utility,EnergySmall_A,MiPN_general,case5,0.407383,0.249241,1000
utility,EnergySmall_A,MiPN_general,case6,0.539473,0.247455,1000
utility,EnergySmall_A,Transformer_expert,case1,0.442433,0.175575,1000
utility,EnergySmall_A,Transformer_expert,case2,0.448284,0.188865,1000
utility,EnergySmall_A,Transformer_expert,case3,0.569362,0.211758,1000
utility,EnergySmall_A,Transformer_expert,case4,0.602406,0.163452,1000
utility,EnergySmall_A,Transformer_expert,case5,0.505297,0.189207,1000
utility,EnergySmall_A,Transformer_expert,case6,0.467088,0.222325,1000
utility,EnergySmall_A,Transformer_general,case1,0.411757,0.177782,1000
utility,EnergySmall_A,Transformer_general,case2,0.391714,0.173317,1000
utility,EnergySmall_A,Transformer_general,case3,0.448885,0.172310,1000
utility,EnergySmall_A,Transformer_general,case4,0.496903,0.151448,1000
utility,EnergySmall_A,Transformer_general,case5,0.413695,0.104993,1000
utility,EnergySmall_A,Transformer_general,case6,0.364224,0.119181,1000
steps,Laptop,MiPN_expert,case1,40.209000,23.816409,1000
steps,Laptop,MiPN_expert,case2,49.180000,24.269273,1000
steps,Laptop,MiPN_expert,case3,43.119000,25.266081,1000
steps,Laptop,MiPN_expert,case4,48.136000,24.421374,1000
steps,Laptop,MiPN_expert,case5,40.666000,27.101669,1000
steps,Laptop,MiPN_expert,case6,39.717000,27.051043,1000
steps,Laptop,MiPN_general,case1,49.221000,25.414133,1000
steps,Laptop,MiPN_general,case2,51.794000,19.859345,1000
steps,Laptop,MiPN_general,case3,29.744000,24.207818,1000
steps,Laptop,MiPN_general,case4,30.257000,21.375709,1000
steps,Laptop,MiPN_general,case5,28.112000,23.901913,1000
steps,Laptop,MiPN_general,case6,24.977000,21.374014,1000
steps,Laptop,Transformer_expert,case1,29.499000,19.911303,1000
steps,Laptop,Transformer_expert,case2,31.662000,19.599228,1000
steps,Laptop,Transformer_expert,case3,27.996000,19.526238,1000
steps,Laptop,Transformer_expert,case4,26.994000,20.296501,1000
steps,Laptop,Transformer_expert,case5,27.147000,20.292200,1000
steps,Laptop,Transformer_expert,case6,26.913000,19.367122,1000
steps,Laptop,Transformer_general,case1,41.507000,19.812823,1000
steps,Laptop,Transformer_general,case2,45.432000,20.623030,1000
steps,Laptop,Transformer_general,case3,38.424000,21.349619,1000
steps,Laptop,Transformer_general,case4,39.357000,20.893625,1000
steps,Laptop,Transformer_general,case5,40.290000,27.429107,1000
steps,Laptop,Transformer_general,case6,62.087000,20.945678,1000
steps,ItexvsCypress,MiPN_expert,case1,44.774000,29.993315,1000
steps,ItexvsCypress,MiPN_expert,case2,56.318000,27.143266,1000
steps,ItexvsCypress,MiPN_expert,case3,52.461000,25.257840,1000
steps,ItexvsCypress,MiPN_expert,case4,53.320000,19.195145,1000
steps,ItexvsCypress,MiPN_expert,case5,49.922000,22.804515,1000
steps,ItexvsCypress,MiPN_expert,case6,50.334000,22.640019,1000
steps,ItexvsCypress,MiPN_general,case1,50.479000,23.901790,1000
steps,ItexvsCypress,MiPN_general,case2,51.442000,23.326008,1000
steps,ItexvsCypress,MiPN_general,case3,43.702000,24.290517,1000
steps,ItexvsCypress,MiPN_general,case4,44.124000,22.557496,1000
steps,ItexvsCypress,MiPN_general,case5,51.071000,23.991831,1000
steps,ItexvsCypress,MiPN_general,case6,45.487000,21.947707,1000
steps,ItexvsCypress,Transformer_expert,case1,31.569000,21.329023,1000
steps,ItexvsCypress,Transformer_expert,case2,21.762000,16.508584,1000
steps,ItexvsCypress,Transformer_expert,case3,41.211000,25.157434,1000
steps,ItexvsCypress,Transformer_expert,case4,43.943000,19.386587,1000
steps,ItexvsCypress,Transformer_expert,case5,39.810000,23.002215,1000
steps,ItexvsCypress,Transformer_expert,case6,43.701000,17.807347,1000
steps,ItexvsCypress,Transformer_general,case1,40.410000,19.746086,1000
steps,ItexvsCypress,Transformer_general,case2,43.196000,20.999466,1000
steps,ItexvsCypress,Transformer_general,case3,49.896000,20.614441,1000
steps,ItexvsCypress,Transformer_general,case4,49.236000,17.664266,1000
steps,ItexvsCypress,Transformer_general,case5,54.801000,17.882041,1000
steps,ItexvsCypress,Transformer_general,case6,56.247000,19.639348,1000
steps,IS_BT_Acquisition,MiPN_expert,case1,41.555000,23.346926,1000
steps,IS_BT_Acquisition,MiPN_expert,case2,37.519000,28.423399,1000
steps,IS_BT_Acquisition,MiPN_expert,case3,37.362000,28.892022,1000
steps,IS_BT_Acquisition,MiPN_expert,case4,38.782000,26.777611,1000
steps,IS_BT_Acquisition,MiPN_expert,case5,45.335000,26.275364,1000
steps,IS_BT_Acquisition,MiPN_expert,case6,36.131000,24.659113,1000
steps,IS_BT_Acquisition,MiPN_general,case1,43.000000,26.308326,1000
steps,IS_BT_Acquisition,MiPN_general,case2,58.911000,19.226988,1000
steps,IS_BT_Acquisition,MiPN_general,case3,28.508000,23.157244,1000
